               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.025628,            0.010495,            0.027989,             0.98685,             0.98748,             0.99189,             0.84844,           0.0095667,           0.0027469,          0.00099683,            0.004225,            0.004225,            0.004225
                  37,            0.025399,            0.010334,            0.027782,             0.98154,             0.99133,             0.99135,             0.84867,           0.0095612,           0.0027216,          0.00097721,             0.00406,             0.00406,             0.00406
                  38,            0.024866,            0.010262,            0.027298,             0.98527,             0.98797,             0.99159,             0.84822,           0.0093619,           0.0026876,          0.00093918,            0.003895,            0.003895,            0.003895
                  39,            0.024962,            0.010254,            0.027333,             0.99036,              0.9905,             0.99293,             0.85169,           0.0091299,           0.0026495,          0.00091576,             0.00373,             0.00373,             0.00373
                  40,            0.024637,            0.010102,            0.026871,             0.99013,             0.98984,              0.9928,             0.85112,           0.0091033,           0.0026568,          0.00083988,            0.003565,            0.003565,            0.003565
                  41,            0.024494,            0.010118,             0.02616,             0.99102,             0.98815,             0.99243,             0.85338,           0.0091174,           0.0026026,          0.00083593,              0.0034,              0.0034,              0.0034
                  42,            0.024274,            0.010073,            0.026328,             0.99202,             0.98897,             0.99335,             0.85849,           0.0090009,           0.0025878,          0.00078329,            0.003235,            0.003235,            0.003235
                  43,            0.023955,            0.010007,            0.025385,             0.99292,             0.99014,             0.99346,             0.85612,           0.0090068,           0.0025874,           0.0006988,             0.00307,             0.00307,             0.00307
                  44,            0.023776,           0.0098919,            0.025539,             0.99199,             0.98876,             0.99318,             0.85538,            0.008968,           0.0025676,          0.00072164,            0.002905,            0.002905,            0.002905
                  45,            0.023555,           0.0098196,            0.025184,             0.99269,             0.98882,             0.99345,             0.85722,           0.0089369,           0.0025559,          0.00067903,             0.00274,             0.00274,             0.00274
                  46,            0.023612,           0.0097456,            0.025591,             0.99309,             0.98724,             0.99325,             0.86142,           0.0089766,            0.002559,          0.00071178,            0.002575,            0.002575,            0.002575
                  47,            0.023337,           0.0098235,            0.025289,             0.99271,             0.98845,             0.99347,             0.86072,           0.0087906,           0.0025497,          0.00066943,             0.00241,             0.00241,             0.00241
                  48,            0.023121,           0.0096412,            0.024549,             0.99295,             0.98916,             0.99357,             0.85935,           0.0087702,            0.002543,          0.00060972,            0.002245,            0.002245,            0.002245
                  49,            0.022825,           0.0096456,            0.023965,             0.99313,             0.99093,             0.99352,             0.86167,            0.008715,           0.0025502,          0.00061659,             0.00208,             0.00208,             0.00208
                  50,            0.022697,           0.0094852,            0.023844,             0.99164,             0.99127,              0.9936,             0.86173,           0.0086888,           0.0025399,          0.00060219,            0.001915,            0.001915,            0.001915
                  51,            0.022467,           0.0094998,            0.023598,             0.99174,             0.99036,             0.99354,             0.86298,           0.0086564,           0.0025216,          0.00059747,             0.00175,             0.00175,             0.00175
                  52,            0.021904,           0.0093544,             0.02303,             0.99207,             0.99014,             0.99343,             0.86355,           0.0086538,           0.0025168,          0.00054827,            0.001585,            0.001585,            0.001585
                  53,            0.021767,           0.0093347,            0.022758,             0.99232,             0.99005,             0.99353,             0.86312,           0.0086209,           0.0025125,          0.00051137,             0.00142,             0.00142,             0.00142
                  54,            0.021538,           0.0092859,            0.022454,             0.99203,             0.99055,              0.9935,             0.86377,           0.0086501,           0.0025065,          0.00049245,            0.001255,            0.001255,            0.001255
                  55,            0.021297,           0.0092071,            0.022501,             0.99165,             0.99146,             0.99347,             0.86431,           0.0086588,           0.0024991,          0.00047587,             0.00109,             0.00109,             0.00109
                  56,            0.021131,           0.0092806,            0.022014,             0.99167,             0.99126,             0.99362,             0.86276,            0.008646,           0.0024959,          0.00045036,            0.000925,            0.000925,            0.000925
                  57,            0.020809,           0.0090284,            0.021336,             0.99203,             0.99108,             0.99369,             0.86261,            0.008683,           0.0024944,          0.00042501,             0.00076,             0.00076,             0.00076
                  58,            0.020639,           0.0089663,            0.021549,              0.9928,             0.99118,             0.99369,             0.86242,           0.0087207,           0.0024882,          0.00040127,            0.000595,            0.000595,            0.000595
                  59,            0.020394,           0.0090218,             0.02145,             0.99314,             0.99135,             0.99373,             0.86179,           0.0087188,           0.0024838,          0.00039002,             0.00043,             0.00043,             0.00043
